"","datetime","sensor_name","sensor_state","anomaly"
"1",1970-01-01 00:00:01,"toilet","ON",0
"2",1970-01-01 00:05:59,"toilet","OFF",0
"3",1970-01-01 00:06:09,"bed","ON",0
"4",1970-01-01 00:20:04,"sleep","ON",0
"5",1970-01-01 10:03:31,"sleep","OFF",0
"6",1970-01-01 10:09:32,"bed","OFF",0
"7",1970-01-01 10:09:42,"toilet","ON",0
"8",1970-01-01 10:41:07,"toilet","OFF",0
"9",1970-01-01 10:41:17,"pc","ON",0
"10",1970-01-01 11:00:04,"social","ON",0
"11",1970-01-01 14:34:16,"social","OFF",0
"12",1970-01-01 14:34:26,"pc","OFF",0
"13",1970-01-01 14:34:36,"tv","ON",0
"14",1970-01-01 20:49:49,"tv","OFF",0
"15",1970-01-01 20:49:49,"toilet","ON",0
"16",1970-01-01 21:18:27,"toilet","OFF",0
"17",1970-01-01 21:18:37,"tv","ON",0
"18",1970-01-02 00:31:43,"tv","OFF",0
"19",1970-01-02 00:31:43,"bed","ON",0
"20",1970-01-02 00:53:14,"sleep","ON",0
"21",1970-01-02 10:10:30,"sleep","OFF",0
"22",1970-01-02 10:13:46,"bed","OFF",0
"23",1970-01-02 10:13:56,"pc","ON",0
"24",1970-01-02 10:36:04,"tv","ON",0
"25",1970-01-02 10:50:49,"tv","OFF",0
"26",1970-01-02 10:50:49,"social","ON",0
"27",1970-01-02 13:00:16,"social","OFF",0
"28",1970-01-02 13:00:26,"pc","OFF",0
"29",1970-01-02 13:00:36,"bed","ON",0
"30",1970-01-02 13:26:06,"bed","OFF",0
"31",1970-01-02 13:26:16,"social","ON",0
"32",1970-01-02 17:56:13,"social","OFF",0
"33",1970-01-02 17:56:23,"bed","ON",0
"34",1970-01-02 18:08:54,"sleep","ON",0
"35",1970-01-03 02:30:48,"sleep","OFF",0
"36",1970-01-03 02:35:32,"bed","OFF",0
"37",1970-01-03 02:35:42,"toilet","ON",0
"38",1970-01-03 02:46:25,"toilet","OFF",0
"39",1970-01-03 02:46:35,"bed","ON",0
"40",1970-01-03 03:01:05,"sleep","ON",0
"41",1970-01-03 08:44:19,"sleep","OFF",0
"42",1970-01-03 08:46:37,"bed","OFF",0
"43",1970-01-03 08:46:47,"toilet","ON",0
"44",1970-01-03 09:32:14,"toilet","OFF",0
"45",1970-01-03 09:32:24,"pc","ON",0
"46",1970-01-03 09:52:27,"toilet","ON",0
"47",1970-01-03 10:01:11,"toilet","OFF",0
"48",1970-01-03 10:01:21,"pc","OFF",0
